U,CLreq,condition,controller,loud_SPL,SPL,reduction,lift_RMS,lift_RMS_std,lift_max,lift_max_mean,whole_max
45.0,1.1,nominal,SG-FTSMC,75.77704136744185,72.36243482188134,3.414606545560517,0.0054945799197178395,0.00043322461683732,0.016965221419044774,0.014700769998781915,0.059794769379649226
45.0,1.1,nominal,BF-STA,75.77704136744185,72.17756543190107,3.599475935540781,0.021435064393734656,0.008412302717046245,0.08241069898620434,0.06265047534009702,0.0864690433034494
45.0,1.1,nominal,CLF-QP,75.77704136744185,72.19084010748782,3.586201259954038,0.00479730592900327,0.0012468766484047104,0.019141949738284758,0.014653296888402511,0.059794769379649226
45.0,1.1,nominal,MPC,75.77704136744185,72.13651417293234,3.6405271945095166,0.006329291175509268,0.0016960821924691667,0.024724389256986612,0.019637321451539645,0.09122396889836137
45.0,1.1,model_err_25pct,SG-FTSMC,75.77704136744185,73.98445847812793,1.7925828893139197,0.0063809511000378,0.0004364497332199859,0.017531493395942954,0.016733451520148622,0.059794769379649226
45.0,1.1,model_err_25pct,BF-STA,75.77704136744185,73.98371033302142,1.793331034420433,0.022541316887040124,0.010781969411505254,0.09022834899404875,0.061077986243037154,0.09576717142402646
45.0,1.1,model_err_25pct,CLF-QP,75.77704136744185,73.98462948528244,1.7924118821594135,0.0042246012570039855,0.0012775964803001735,0.016432600173388323,0.011851040990654127,0.059794769379649226
45.0,1.1,model_err_25pct,MPC,75.77704136744185,73.98441700541142,1.7926243620304376,0.002398011654734021,0.0004885354925793292,0.008885742521032913,0.007361892914426215,0.1017634179722059
55.0,1.3,nominal,SG-FTSMC,82.07388274414603,79.9933113257958,2.0805714183502317,0.004212724504379532,0.0002575225268970395,0.014041586099627468,0.012132748321145793,0.04709455679289132
55.0,1.3,nominal,BF-STA,82.07388274414603,79.88757528592586,2.1863074582201705,0.022348306044668975,0.007896731837855556,0.07885788611443223,0.06535391475481171,0.08008038534047457
55.0,1.3,nominal,CLF-QP,82.07388274414603,79.88690557269379,2.1869771714522415,0.00611169418874303,0.0012628087881761294,0.022186694846635158,0.017485471227571114,0.04709455679289132
55.0,1.3,nominal,MPC,82.07388274414603,79.83007052293742,2.2438122212086142,0.011703180489899597,0.0018286945020415228,0.0352014237606062,0.02970783337859433,0.059160797586499614
55.0,1.3,model_err_25pct,SG-FTSMC,82.07388274414603,80.12430376457343,1.9495789795726068,0.004340664161938599,0.00030548712629134317,0.01272269407557114,0.011755756878931179,0.04709455679289132
55.0,1.3,model_err_25pct,BF-STA,82.07388274414603,80.12874173950654,1.9451410046394955,0.023042092570490138,0.010363742256766024,0.08392470495646664,0.06072231302636442,0.08763375881699997
55.0,1.3,model_err_25pct,CLF-QP,82.07388274414603,80.06662119247184,2.0072615516741905,0.007864150393934084,0.0007446252603288254,0.019908177263895155,0.0175209845682629,0.04709455679289132
55.0,1.3,model_err_25pct,MPC,82.07388274414603,79.95613171532514,2.1177510288208907,0.018416525274912304,0.0003361702253206764,0.0334482278591699,0.031111154218043825,0.15968693557064295
70.0,1.5,nominal,SG-FTSMC,90.06555676259575,87.3926714021816,2.672885360414142,0.003821905153306553,0.0002403602229129841,0.013398465524855574,0.011509321975913834,0.0423822690700808
70.0,1.5,nominal,BF-STA,90.06555676259575,87.4005462148867,2.665010547709045,0.016160562042929132,0.008566856044820971,0.07840651559664269,0.048618723864972416,0.07840651559664269
70.0,1.5,nominal,CLF-QP,90.06555676259575,87.39374095476964,2.671815807826107,0.0033596799201545203,0.0009247926757642386,0.012854975332610596,0.009852834586663662,0.0423822690700808
70.0,1.5,nominal,MPC,90.06555676259575,87.39358942830415,2.671967334291594,0.002372349689319243,0.000443484047473749,0.008756869704137582,0.007460179732904626,0.10746392003530536
70.0,1.5,model_err_25pct,SG-FTSMC,90.06555676259575,86.78976224796293,3.275794514632821,0.0036343659789493167,0.0003606993842340565,0.01364358840179336,0.012081301494792562,0.0423822690700808
70.0,1.5,model_err_25pct,BF-STA,90.06555676259575,86.79298096814148,3.2725757944542693,0.020510191360394964,0.009755914963175532,0.08429719414593007,0.05728948312191253,0.09095523124442972
70.0,1.5,model_err_25pct,CLF-QP,90.06555676259575,86.7904864963127,3.275070266283052,0.004084159277843785,0.001195306955484671,0.015423975239143184,0.011540195815243593,0.0423822690700808
70.0,1.5,model_err_25pct,MPC,90.06555676259575,86.79016613149678,3.275390631098972,0.00246912391788007,0.0005105011102257215,0.009226644695413233,0.007725090632464493,0.10906764240341782
