alpha,delta1,delta2,U,CL,CM,dstar_s,dstar_p,SPL
0,-10,-10,40,-1.0874534653087178,0.17601915626134568,0.0010482742318077,0.023655191358616,65.98960064487332
0,-10,-10,55,-1.10699656351275,0.1795188500389967,0.0009740694335469,0.0224298635559045,73.812678900086
0,-10,-10,70,-1.1257892060811872,0.18285487962873492,0.0009254582786035,0.0214836279289215,79.70338421426669
0,-10,-5,40,-0.9422968311757304,0.15038476913756132,0.0013464565955377,0.013444080101062,67.06474660251315
0,-10,-5,55,-0.9556101065608744,0.15277115130412292,0.0012527967224998,0.0129111575597724,74.30807732867207
0,-10,-5,70,-0.9696664595760156,0.15524960291726683,0.0011929260114534,0.0124179087436283,79.65965900289724
0,-10,0,40,-0.7458629767020731,0.11439677995662449,0.0017140069774599,0.0076041965643057,66.33061579009212
0,-10,0,55,-0.7521611252984963,0.11547846469156173,0.0015936859240449,0.0074896316216916,73.25709635714553
0,-10,0,70,-0.7592579273185374,0.11661481976887934,0.0015179045990409,0.0073780489780186,78.48577518100554
0,-10,5,40,-0.5000205147353034,0.0690462491780137,0.0021558034387111,0.004747226532523,65.37454081156704
0,-10,5,55,-0.5055504730667412,0.06969719561701924,0.0020182663091384,0.0046488265694492,72.18811946363358
0,-10,5,70,-0.510892512125665,0.07028434882805416,0.0019392424759968,0.0045745053331398,77.35980479468545
0,-10,10,40,-0.2426165957558527,0.01975341047974268,0.0027598229195745,0.0030736904187861,64.75125821983177
0,-10,10,55,-0.242999501342939,0.019928788751874177,0.0026272086429757,0.0031758954529803,71.6659783484147
0,-10,10,70,-0.2454376290199449,0.020107678968398972,0.0025729432721158,0.0031396759619483,76.84323111074296
0,-5,-10,40,-0.8282194092048055,0.14170612451668355,0.0012296674999247,0.0120673179266626,66.96347107690985
0,-5,-10,55,-0.838585879271674,0.14383338831731096,0.0011423767734207,0.0117318086342589,74.1035582302667
0,-5,-10,70,-0.8495600572538207,0.14597349942654514,0.0010866975893675,0.0113881708801986,79.43595900561691
0,-5,-5,40,-0.6251357991581604,0.10479602792441474,0.0015757746961505,0.0066971140985895,65.9305085583032
0,-5,-5,55,-0.6314043450356053,0.10587277481263731,0.001474882533,0.0065506859423252,72.82146461216978
0,-5,-5,70,-0.6377879277535263,0.10704685435386772,0.0014130074668541,0.0064535097478688,78.02580030334126
0,-5,0,40,-0.3823856539173905,0.05923585148396605,0.00201325579039,0.0041648072008454,64.93635512391847
0,-5,0,55,-0.3853141123377555,0.05989942961330464,0.0019066131859765,0.0041242484247402,71.79029771163502
0,-5,0,70,-0.3893318230959663,0.0604262472849771,0.0018477607124594,0.0040354489424065,76.94425086262395
0,-5,5,40,-0.1285833462262735,0.010311799753951047,0.0026385182685828,0.0026310947695885,64.32517662472343
0,-5,5,55,-0.1273942348995418,0.010153905405689887,0.0025546362899422,0.0027277998028116,71.27008032922599
0,-5,5,70,-0.1276231757799673,0.010218520070006709,0.0025229464270119,0.0027459928567344,76.50369863807151
0,-5,10,40,0.1257179954482828,-0.038783914739706334,0.0038021749023189,0.0018060843280834,64.54802129897593
0,-5,10,55,0.1292222312446595,-0.03977943631581844,0.0037536908488605,0.0018656215615166,71.50172111284904
0,-5,10,70,0.1325219593100984,-0.0405840194764304,0.0037096545772286,0.001908762099534,76.7630132355723
0,0,-10,40,-0.4917872334796452,0.09409120732069289,0.0014489119291717,0.0063008702800697,65.69323482263309
0,0,-10,55,-0.498006963620058,0.09530359537108579,0.0014041625784856,0.0061187045506984,72.5779809884947
0,0,-10,70,-0.5040870589132429,0.0964966743271254,0.0013744008068516,0.0059937591851357,77.78065438015736
0,0,-5,40,-0.2511634729360114,0.04860879228170871,0.0018846986891574,0.003862453183916,64.64891924602371
