alpha,delta1,delta2,U,CL,dstar_s,dstar_p,SPL,dstar_s_c,dstar_p_c,H_s_c,alpha_eq,corr_ok,corr_reason,SPL_c,SPLA_c
0,-10,-10,40,-1.0874534653087178,0.0010482742318077,0.023655191358616,65.98960064487332,0.002051817530165368,0.06819757010794948,0.12002803415635283,,False,outside the fitted design box,,
0,-10,-10,55,-1.10699656351275,0.0009740694335469,0.0224298635559045,73.812678900086,0.0019065743282683434,0.06466496800535858,0.12002803415635283,,False,outside the fitted design box,,
0,-10,-10,70,-1.1257892060811872,0.0009254582786035,0.0214836279289215,79.70338421426669,0.0018114263060733742,0.061936984556334035,0.12002803415635283,,False,outside the fitted design box,,
0,-10,-5,40,-0.9422968311757304,0.0013464565955377,0.013444080101062,67.06474660251315,0.002335242463327668,0.03509741844527835,0.4396664349157112,,False,outside the fitted design box,,
0,-10,-5,55,-0.9556101065608744,0.0012527967224998,0.0129111575597724,74.30807732867207,0.0021728023866457763,0.03370615885072381,0.4396664349157112,,False,outside the fitted design box,,
0,-10,-5,70,-0.9696664595760156,0.0011929260114534,0.0124179087436283,79.65965900289724,0.002068964931202706,0.03241847237699624,0.4396664349157112,,False,outside the fitted design box,,
0,-10,0,40,-0.7458629767020731,0.0017140069774599,0.0076041965643057,66.33061579009212,0.0026340741847509876,0.017976248525255506,0.7593048356750697,,False,outside the fitted design box,,
0,-10,0,55,-0.7521611252984963,0.0015936859240449,0.0074896316216916,73.25709635714553,0.0024491656138697984,0.017705418087970416,0.7593048356750697,,False,outside the fitted design box,,
0,-10,0,70,-0.7592579273185374,0.0015179045990409,0.0073780489780186,78.48577518100554,0.002332705392584655,0.017441637777084407,0.7593048356750697,,False,outside the fitted design box,,
0,-10,5,40,-0.5000205147353034,0.0021558034387111,0.004747226532523,65.37454081156704,0.0029356236124722284,0.010162190506428097,1.078943236434428,,False,outside the fitted design box,,
0,-10,5,55,-0.5055504730667412,0.0020182663091384,0.0046488265694492,72.18811946363358,0.002748335087964323,0.0099515497957456,1.078943236434428,,False,outside the fitted design box,,
0,-10,5,70,-0.510892512125665,0.0019392424759968,0.0045745053331398,77.35980479468545,0.0026407259124927207,0.009792453414548055,1.078943236434428,,False,outside the fitted design box,,
0,-10,10,40,-0.2426165957558527,0.0027598229195745,0.0030736904187861,64.75125821983177,0.0033300306004685493,0.005958118631140866,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,-10,10,55,-0.242999501342939,0.0026272086429757,0.0031758954529803,71.6659783484147,0.003170016856108063,0.006156235433895955,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,-10,10,70,-0.2454376290199449,0.0025729432721158,0.0031396759619483,76.84323111074296,0.0031045397038503733,0.006086026663679784,1.3985816371937865,,False,outside the equivalent-incidence map,,
