U,CLreq,controller,loud_SPL,quietest_feasible_SPL,quietest_config,available_descent_dB,realised_dB,fraction_realised_pct
45.0,1.1,SG-FTSMC,75.77704136744185,71.97307572631975,12.00/-5.71/4.29,3.8039656411221046,3.414606545560517,89.76438978963192
45.0,1.1,BF-STA,75.77704136744185,71.97307572631975,12.00/-5.71/4.29,3.8039656411221046,3.599475935540781,94.62430198183907
45.0,1.1,CLF-QP,75.77704136744185,71.97307572631975,12.00/-5.71/4.29,3.8039656411221046,3.586201259954038,94.27533259464904
45.0,1.1,MPC,75.77704136744185,71.97307572631975,12.00/-5.71/4.29,3.8039656411221046,3.640527194509517,95.70347205963785
55.0,1.3,SG-FTSMC,82.07388274414603,79.7400849322034,12.00/-4.29/5.71,2.333797811942631,2.080571418350232,89.14960017973384
55.0,1.3,BF-STA,82.07388274414603,79.7400849322034,12.00/-4.29/5.71,2.333797811942631,2.1863074582201705,93.68024286561092
55.0,1.3,CLF-QP,82.07388274414603,79.7400849322034,12.00/-4.29/5.71,2.333797811942631,2.186977171452241,93.70893914892405
55.0,1.3,MPC,82.07388274414603,79.7400849322034,12.00/-4.29/5.71,2.333797811942631,2.2438122212086142,96.14424221869015
70.0,1.5,SG-FTSMC,90.06555676259575,87.33695751483255,7.00/8.57/2.86,2.7285992477631993,2.672885360414142,97.95815060072566
70.0,1.5,BF-STA,90.06555676259575,87.33695751483255,7.00/8.57/2.86,2.7285992477631993,2.665010547709045,97.66954784194557
70.0,1.5,CLF-QP,90.06555676259575,87.33695751483255,7.00/8.57/2.86,2.7285992477631993,2.671815807826107,97.91895273797934
70.0,1.5,MPC,90.06555676259575,87.33695751483255,7.00/8.57/2.86,2.7285992477631993,2.671967334291594,97.92450600732116
