alpha,CL,CM,dstar_s,dstar_p
0.0,1.1192290663972958e-16,2.238450981531281e-17,0.0025643855560777066,0.0025643855560777123
3.0,0.33916655925164935,-0.00020285714763606751,0.004502108847668071,0.0013443958535478658
4.5,0.5057070669170455,0.00068923942518399,0.005998786016084865,0.0010179879075950936
6.0,0.6701827666344345,0.0025578083308374065,0.007509336186980907,0.0009718303941993814
6.27,0.6999971059243124,0.002813988389286757,0.007808210734210549,0.0009745443090206833
7.5,0.8378564495677877,0.003020699225863724,0.00931338955004019,0.0009961870127485602
9.0,1.0061764641956639,0.0020147723227672883,0.01134025734090492,0.001014173064880071
10.5,1.168828233521375,0.0014306730663594639,0.01387084884769607,0.0009749735660065269
11.0,1.22020820738746,0.001626961733656594,0.01492130360838425,0.0009423220555814209
11.5,1.2696252989745063,0.0020461795661941263,0.016094924509846745,0.0009018564455932306
11.82,1.3001648027940453,0.0024041331422163985,0.016919830466052888,0.000873256775092083
11.83,1.30110538305606,0.002416082939612863,0.016946611959614312,0.0008723421304995298
12.0,1.3169677704133014,0.0026237580321468645,0.01741160532395312,0.0008566742833823546
