i,t,alpha,delta1,delta2,CL,viol,SPL,flags
0.000000000000000000e+00,0.000000000000000000e+00,9.099999999999999645e+00,8.354590821947372348e+00,-5.412778374808175030e+00,1.277128855889215320e+00,2.287114411078472465e-02,8.208309393826414180e+01,2.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000021e-02,9.199999999999999289e+00,8.152997594560897454e+00,-5.110720631735665265e+00,1.281639795004685611e+00,1.836020499531443306e-02,8.209959309199726363e+01,2.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000042e-02,9.299999999999998934e+00,7.966149488176619720e+00,-4.808196122305733233e+00,1.288245140713381476e+00,1.175485928661856860e-02,8.212164154283270534e+01,2.000000000000000000e+00
3.000000000000000000e+00,2.999999999999999889e-02,9.399999999999998579e+00,7.742501054491317092e+00,-4.541221348898750954e+00,1.296617753184598154e+00,3.382246815401890316e-03,8.214183493684195980e+01,2.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000083e-02,9.460757713317869744e+00,7.478052106584822667e+00,-4.312375733511788489e+00,1.305205226125968787e+00,5.205226125968742679e-03,8.215003192704617163e+01,0.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000278e-02,9.504502058029173028e+00,7.208588071550642518e+00,-4.096248452322823752e+00,1.311820644730043339e+00,1.182064473004329486e-02,8.214614363768119176e+01,0.000000000000000000e+00
6.000000000000000000e+00,5.999999999999999778e-02,9.493233101367948734e+00,6.907481046404158498e+00,-3.911321942465646018e+00,1.316347565798132502e+00,1.634756579813245736e-02,8.212369018829677714e+01,0.000000000000000000e+00
7.000000000000000000e+00,7.000000000000000666e-02,9.500013802647588435e+00,6.625389505113875366e+00,-3.721796872275216383e+00,1.317074934477374892e+00,1.707493447737484793e-02,8.209143524752668952e+01,0.000000000000000000e+00
8.000000000000000000e+00,8.000000000000000167e-02,9.481182114481923051e+00,6.331819120134626999e+00,-3.548897111075265176e+00,1.315848449209846560e+00,1.584844920984651573e-02,8.204789356252817356e+01,0.000000000000000000e+00
9.000000000000000000e+00,8.999999999999999667e-02,9.461349253058431330e+00,6.043806520189558995e+00,-3.380484883444649924e+00,1.312135462840388955e+00,1.213546284038891088e-02,8.199636622030126887e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000056e-01,9.425913891196248784e+00,5.751110616411482468e+00,-3.223567177908761128e+00,1.306590717967258675e+00,6.590717967258630239e-03,8.193672002166300672e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000006e-01,9.404718350768087376e+00,5.474366651262556616e+00,-3.063502308981759015e+00,1.299050565292757087e+00,9.494347072429576428e-04,8.187430338900051652e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.199999999999999956e-01,9.468716797232625382e+00,5.262502847399031403e+00,-2.865795266287667342e+00,1.290693694396087610e+00,9.306305603912434776e-03,8.182562697869043689e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.300000000000000044e-01,9.556658882498739516e+00,5.072795491899763753e+00,-2.660193211691720183e+00,1.285539998196702394e+00,1.446000180329765072e-02,8.179099026658347782e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.400000000000000133e-01,9.656658882498739160e+00,4.907008500780379201e+00,-2.445233132498604967e+00,1.283850275289138310e+00,1.614972471086173478e-02,8.176935385033340253e+01,2.000000000000000000e+00
1.500000000000000000e+01,1.499999999999999944e-01,9.756658882498738805e+00,4.757820754732405177e+00,-2.225865876334053972e+00,1.285547038949748533e+00,1.445296105025151157e-02,8.175777157732096612e+01,2.000000000000000000e+00
1.600000000000000000e+01,1.600000000000000033e-01,9.856658882498738450e+00,4.603724380220686641e+00,-2.017110154288155321e+00,1.290049603665505806e+00,9.950396334494238104e-03,8.175138031423367124e+01,2.000000000000000000e+00
1.700000000000000000e+01,1.700000000000000122e-01,9.954619631171224725e+00,4.440897536958967606e+00,-1.821530320303780259e+00,1.296346908549655508e+00,3.653091450344536639e-03,8.174612566721543772e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.799999999999999933e-01,9.972555953860281264e+00,4.228952499117170305e+00,-1.667607924597603430e+00,1.303547395428016564e+00,3.547395428016519858e-03,8.173067761018488397e+01,0.000000000000000000e+00
1.900000000000000000e+01,1.900000000000000022e-01,9.963185859322546634e+00,4.003647628511701306e+00,-1.529891307013374835e+00,1.307909753351425897e+00,7.909753351425852230e-03,8.170493787911274808e+01,0.000000000000000000e+00
2.000000000000000000e+01,2.000000000000000111e-01,9.956927722692487492e+00,3.777280917848859332e+00,-1.388477456229073148e+00,1.309046192246754226e+00,9.046192246754181099e-03,8.167253168738710656e+01,0.000000000000000000e+00
2.100000000000000000e+01,2.099999999999999922e-01,9.940118092298504848e+00,3.549077811922345838e+00,-1.255288827078682612e+00,1.307921756366870802e+00,7.921756366870758015e-03,8.163467207696564287e+01,0.000000000000000000e+00
2.200000000000000000e+01,2.200000000000000011e-01,9.943041008114811063e+00,3.339157272066388682e+00,-1.115923630850655268e+00,1.304708039244232065e+00,4.708039244232020692e-03,8.159561931588189054e+01,0.000000000000000000e+00
2.300000000000000000e+01,2.300000000000000100e-01,9.991589248776431731e+00,3.164548183168683693e+00,-9.582070800236288655e-01,1.300858652373154012e+00,8.586523731539674742e-04,8.156105116741186123e+01,0.000000000000000000e+00
2.400000000000000000e+01,2.399999999999999911e-01,1.006502347767352568e+01,3.011205688204083852e+00,-7.919348021915976199e-01,1.298581687998958012e+00,1.418312001042032477e-03,8.153231249061997232e+01,0.000000000000000000e+00
2.500000000000000000e+01,2.500000000000000000e-01,1.004844221889972111e+01,2.802892013277325844e+00,-6.707956859043662234e-01,1.298571660509220127e+00,1.428339490779917398e-03,8.149844339902924162e+01,0.000000000000000000e+00
2.600000000000000000e+01,2.600000000000000089e-01,1.011200881302356080e+01,2.652133517946515529e+00,-5.152045127323691132e-01,1.296242510719546992e+00,3.757489280453052416e-03,8.146926557932160051e+01,0.000000000000000000e+00
2.700000000000000000e+01,2.700000000000000178e-01,1.018793672382830984e+01,2.513929553713117215e+00,-3.568007728031699077e-01,1.295792196147608877e+00,4.207803852391167609e-03,8.144437349453140484e+01,0.000000000000000000e+00
2.800000000000000000e+01,2.800000000000000266e-01,1.028144383251666483e+01,2.391582399095807610e+00,-1.931346961430136511e-01,1.297270291612882431e+00,2.729708387117613100e-03,8.142357502055327245e+01,0.000000000000000000e+00
2.900000000000000000e+01,2.899999999999999800e-01,1.029480393111705183e+01,2.220761609758649335e+00,-6.931446756635349649e-02,1.300937236654303941e+00,9.372366543038967990e-04,8.139868803168465661e+01,0.000000000000000000e+00
3.000000000000000000e+01,2.999999999999999889e-01,1.036891246974467684e+01,2.093952947344098536e+00,7.980853353227933267e-02,1.302659344707964628e+00,2.659344707964583776e-03,8.137578452055385014e+01,0.000000000000000000e+00
3.100000000000000000e+01,3.099999999999999978e-01,1.037526601970195195e+01,1.926744180406842588e+00,1.951171997615273879e-01,1.305666604897186334e+00,5.666604897186289236e-03,8.134968537577393022e+01,0.000000000000000000e+00
3.200000000000000000e+01,3.200000000000000067e-01,1.037586560651659440e+01,1.759728093828473394e+00,3.052418259211953644e-01,1.306628658425624145e+00,6.628658425624101014e-03,8.132156252692882958e+01,0.000000000000000000e+00
3.300000000000000000e+01,3.300000000000000155e-01,1.034599098846315890e+01,1.576636243547711702e+00,3.989536694117959414e-01,1.305866628493452364e+00,5.866628493452319404e-03,8.129066182615817127e+01,0.000000000000000000e+00
3.400000000000000000e+01,3.400000000000000244e-01,1.034045214399695034e+01,1.413249726976666842e+00,5.013704708644326491e-01,1.302518186797883448e+00,2.518186797883403827e-03,8.125976493348231600e+01,0.000000000000000000e+00
3.500000000000000000e+01,3.500000000000000333e-01,1.038543406710028272e+01,1.286581807817731349e+00,6.243958691188271626e-01,1.298373150485629068e+00,1.626849514370976024e-03,8.123210044545862729e+01,0.000000000000000000e+00
3.600000000000000000e+01,3.599999999999999867e-01,1.043450376734137208e+01,1.166176458086286116e+00,7.469113281794961257e-01,1.295899056673958549e+00,4.100943326041495141e-03,8.120701053224146904e+01,0.000000000000000000e+00
3.700000000000000000e+01,3.699999999999999956e-01,1.049230255827307445e+01,1.054986854280744124e+00,8.710680512019570720e-01,1.294837101997088125e+00,5.162898002911919804e-03,8.118414692206896177e+01,0.000000000000000000e+00
3.800000000000000000e+01,3.800000000000000044e-01,1.056664687380194501e+01,9.580485493796211394e-01,1.000447342736380918e+00,1.295203821403089650e+00,4.796178596910394276e-03,8.116342029818190440e+01,0.000000000000000000e+00
3.900000000000000000e+01,3.900000000000000133e-01,1.063531048044562155e+01,8.607545716421943771e-01,1.125036042077201204e+00,1.297356122934926859e+00,2.643877065073185761e-03,8.114356238752888828e+01,0.000000000000000000e+00
4.000000000000000000e+01,4.000000000000000222e-01,1.071758027300238325e+01,7.761474949972969606e-01,1.253280775887625875e+00,1.300565231884946105e+00,5.652318849460602479e-04,8.112438695397511879e+01,0.000000000000000000e+00
4.100000000000000000e+01,4.100000000000000311e-01,1.074679325088858306e+01,6.599832207815987672e-01,1.355464384896414964e+00,1.305160017565079267e+00,5.160017565079222379e-03,8.110381467366903507e+01,0.000000000000000000e+00
4.200000000000000000e+01,4.199999999999999845e-01,1.075308752939104728e+01,5.318977028982979638e-01,1.445267718178885552e+00,1.308431069742433728e+00,8.431069742433683345e-03,8.108183604777140374e+01,0.000000000000000000e+00
4.300000000000000000e+01,4.299999999999999933e-01,1.073695660397410023e+01,3.921246010916573654e-01,1.522980349404471578e+00,1.309755230732460474e+00,9.755230732460429266e-03,8.105891534443904334e+01,0.000000000000000000e+00
4.400000000000000000e+01,4.400000000000000022e-01,1.071795076176523764e+01,2.534083516257149560e-01,1.597471731049674215e+00,1.308702309897348481e+00,8.702309897348436962e-03,8.103574014929475311e+01,0.000000000000000000e+00
4.500000000000000000e+01,4.500000000000000111e-01,1.074716137930750470e+01,1.492314965384346770e-01,1.691767919404166376e+00,1.305818200078434632e+00,5.818200078434587752e-03,8.101333395420326156e+01,0.000000000000000000e+00
4.600000000000000000e+01,4.600000000000000200e-01,1.073284689590334473e+01,1.927074977329798489e-02,1.764633620125906965e+00,1.303756150138245085e+00,3.756150138245040182e-03,8.099106555339764668e+01,0.000000000000000000e+00
4.700000000000000000e+01,4.700000000000000289e-01,1.076720235273241677e+01,-7.592928341456822716e-02,1.857562716347830767e+00,1.300388383343662246e+00,3.883833436622019519e-04,8.096959458494237083e+01,0.000000000000000000e+00
4.800000000000000000e+01,4.799999999999999822e-01,1.084759888097643454e+01,-1.381021874291556428e-01,1.969398262841361102e+00,1.298252720513875635e+00,1.747279486124408976e-03,8.094892127287670291e+01,0.000000000000000000e+00
4.900000000000000000e+01,4.899999999999999911e-01,1.086808941289782204e+01,-2.370948403222220557e-01,2.052584622246878876e+00,1.299081417939415228e+00,9.185820605848160625e-04,8.092825655990750988e+01,0.000000000000000000e+00
5.000000000000000000e+01,5.000000000000000000e-01,1.093179185792803487e+01,-3.049841540200369794e-01,2.153496983391898656e+00,1.299429236504285212e+00,5.707634957148322030e-04,8.090757738303688029e+01,0.000000000000000000e+00
5.100000000000000000e+01,5.100000000000000089e-01,1.094403363987803246e+01,-4.043374865395682471e-01,2.229619787079947901e+00,1.301372277707856462e+00,1.372277707856417450e-03,8.088691748502353107e+01,0.000000000000000000e+00
5.200000000000000000e+01,5.200000000000000178e-01,1.092433639451861183e+01,-5.223742049080984939e-01,2.289758508546012372e+00,1.302217002756112629e+00,2.217002756112584905e-03,8.086684267638921142e+01,0.000000000000000000e+00
5.300000000000000000e+01,5.300000000000000266e-01,1.091243454739451124e+01,-6.328667681557791358e-01,2.351825063569205732e+00,1.300878037182684688e+00,8.780371826846433692e-04,8.084746611258879057e+01,0.000000000000000000e+00
5.400000000000000000e+01,5.400000000000000355e-01,1.087952008292078609e+01,-7.549642413003103680e-01,2.402897637231010020e+00,1.298327668752090158e+00,1.672331247909886187e-03,8.082907116638638456e+01,0.000000000000000000e+00
5.500000000000000000e+01,5.500000000000000444e-01,1.092826287314295364e+01,-8.206046240670340497e-01,2.489174921853202438e+00,1.293988112846121918e+00,6.011887153878126000e-03,8.081051380263033934e+01,0.000000000000000000e+00
5.600000000000000000e+01,5.600000000000000533e-01,1.097542071864008584e+01,-8.850303261620657835e-01,2.573272488457816642e+00,1.292013539168942682e+00,7.986460831057362597e-03,8.079176795749151552e+01,0.000000000000000000e+00
5.700000000000000000e+01,5.700000000000000622e-01,1.104908006712794055e+01,-9.296034806115286431e-01,2.667870638711112630e+00,1.291716901225206771e+00,8.283098774793273833e-03,8.077217155097024204e+01,0.000000000000000000e+00
