scenario,i,t,alpha,delta1,delta2,CL,s,sigma,flags
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.045762062072753906e+00,9.678445816040039062e+00,-7.712407588958740234e+00,1.300479173660278320e+00,4.792213439941406250e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-02,9.122696876525878906e+00,9.384834289550781250e+00,-7.415573120117187500e+00,1.298098921775817871e+00,-1.901030540466308594e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000042e-02,9.172163963317871094e+00,9.080384254455566406e+00,-7.137620925903320312e+00,1.300352692604064941e+00,3.527402877807617188e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,2.999999999999999889e-02,9.247323036193847656e+00,8.800646781921386719e+00,-6.852709770202636719e+00,1.298348903656005859e+00,-1.651048660278320312e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000083e-02,9.296905517578125000e+00,8.510552406311035156e+00,-6.585615634918212891e+00,1.300342082977294922e+00,3.421306610107421875e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000278e-02,9.370343208312988281e+00,8.244029045104980469e+00,-6.312119960784912109e+00,1.298429369926452637e+00,-1.570582389831542969e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,5.999999999999999778e-02,9.418207168579101562e+00,7.966528415679931641e+00,-6.056295871734619141e+00,1.300371885299682617e+00,3.719329833984375000e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000666e-02,9.489949226379394531e+00,7.712560653686523438e+00,-5.793750286102294922e+00,1.298403263092041016e+00,-1.596689224243164062e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000167e-02,9.535400390625000000e+00,7.446630954742431641e+00,-5.549083232879638672e+00,1.300400137901306152e+00,4.001855850219726562e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,8.999999999999999667e-02,9.604646682739257812e+00,7.204002857208251953e+00,-5.297455787658691406e+00,1.298415541648864746e+00,-1.584410667419433594e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000056e-01,9.647353172302246094e+00,6.948876380920410156e+00,-5.063677310943603516e+00,1.300422668457031250e+00,4.227161407470703125e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000006e-01,9.714238166809082031e+00,6.717066287994384766e+00,-4.822500228881835938e+00,1.298378467559814453e+00,-1.621484756469726562e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.199999999999999956e-01,9.753906250000000000e+00,6.472017765045166016e+00,-4.599340915679931641e+00,1.300451278686523438e+00,4.513263702392578125e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000044e-01,9.818102836608886719e+00,6.250217914581298828e+00,-4.368393421173095703e+00,1.298373579978942871e+00,-1.626372337341308594e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.400000000000000133e-01,9.855130195617675781e+00,6.015029907226562500e+00,-4.155257701873779297e+00,1.300449609756469727e+00,4.496574401855468750e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,1.499999999999999944e-01,9.916794776916503906e+00,5.802813529968261719e+00,-3.934095621109008789e+00,1.298353433609008789e+00,-1.646518707275390625e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.600000000000000033e-01,9.950729370117187500e+00,5.576687812805175781e+00,-3.730825424194335938e+00,1.300482630729675293e+00,4.826784133911132812e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,1.700000000000000122e-01,1.001000976562500000e+01,5.373656272888183594e+00,-3.519023418426513672e+00,1.298329591751098633e+00,-1.670360565185546875e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,1.799999999999999933e-01,1.004149341583251953e+01,5.156580448150634766e+00,-3.324933052062988281e+00,1.300478935241699219e+00,4.789829254150390625e-04,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,1.900000000000000022e-01,1.009840011596679688e+01,4.962270736694335938e+00,-3.122145414352416992e+00,1.298325300216674805e+00,-1.674652099609375000e-03,1.287478208541870117e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000111e-01,1.012967586517333984e+01,4.742526531219482422e+00,-2.926190853118896484e+00,1.300497174263000488e+00,4.972219467163085938e-04,1.042098999023437500e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,2.099999999999999922e-01,1.018679141998291016e+01,4.546028137207031250e+00,-2.721658229827880859e+00,1.298302888870239258e+00,-1.697063446044921875e-03,1.042098999023437500e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,2.200000000000000011e-01,1.021578311920166016e+01,4.335691928863525391e+00,-2.534950494766235352e+00,1.300488114356994629e+00,4.881620407104492188e-04,1.042098999023437500e-01,0.000000000000000000e+00
