i,t,alpha,delta1,delta2,CL,viol,SPL,flags
0.000000000000000000e+00,0.000000000000000000e+00,9.099999999999999645e+00,8.385243417172306479e+00,-5.391066176167292667e+00,1.252905443207108727e+00,4.709455679289131780e-02,8.208660985824525369e+01,2.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000021e-02,9.199999999999999289e+00,8.212626354456350697e+00,-5.068469639787001491e+00,1.259581740481177325e+00,4.041825951882271895e-02,8.210903115296122223e+01,2.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000042e-02,9.299999999999998934e+00,8.052667125313595520e+00,-4.746854572936381800e+00,1.268924518439431326e+00,3.107548156056871846e-02,8.213856259417843830e+01,2.000000000000000000e+00
3.000000000000000000e+00,2.999999999999999889e-02,9.399999999999998579e+00,7.874002447235308288e+00,-4.448063470779609396e+00,1.280397008773613177e+00,1.960299122638686775e-02,8.216958380775649573e+01,2.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000083e-02,9.499999999999998224e+00,7.678432271194507663e+00,-4.170613618696716429e+00,1.292808641751473697e+00,7.191358248526347197e-03,8.219811915278302195e+01,2.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000278e-02,9.599999999999997868e+00,7.447288989547545590e+00,-3.927455782117602379e+00,1.305349315509635399e+00,5.349315509635355070e-03,8.221897730494056589e+01,2.000000000000000000e+00
6.000000000000000000e+00,5.999999999999999778e-02,9.614248024680556171e+00,7.160295975227926490e+00,-3.732693291162675564e+00,1.316969482462755359e+00,1.696948246275531424e-02,8.221824705614652373e+01,0.000000000000000000e+00
7.000000000000000000e+00,7.000000000000000666e-02,9.631125826167400206e+00,6.881646527828651827e+00,-3.540820428498386185e+00,1.324318882654616170e+00,2.431888265461612519e-02,8.220279299436013787e+01,0.000000000000000000e+00
8.000000000000000000e+00,8.000000000000000167e-02,9.610758774363871382e+00,6.583618593113642170e+00,-3.371163103208264289e+00,1.328739961702196215e+00,2.873996170219617063e-02,8.217083986468767876e+01,0.000000000000000000e+00
9.000000000000000000e+00,8.999999999999999667e-02,9.576849040828955495e+00,6.282483907814110147e+00,-3.212048178395018549e+00,1.329509415294295005e+00,2.950941529429496057e-02,8.212520607786697724e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000056e-01,9.521062884027628570e+00,5.972381493854158840e+00,-3.067401467452163910e+00,1.327064927113152271e+00,2.706492711315222621e-02,8.206648419812617590e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000006e-01,9.463406494189751328e+00,5.667083294869900811e+00,-2.927366922819143902e+00,1.321342521088392230e+00,2.134252108839218565e-02,8.199823985054277387e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.199999999999999956e-01,9.423196718008354011e+00,5.379855561170479916e+00,-2.782488294738957535e+00,1.313125012117456913e+00,1.312501211745686902e-02,8.192620590979679207e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.300000000000000044e-01,9.397438123989875436e+00,5.108500808901834667e+00,-2.634162166059383914e+00,1.303821467958546698e+00,3.821467958546653776e-03,8.185511162328211299e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.400000000000000133e-01,9.462202667030759073e+00,4.905109083293884176e+00,-2.445689268641867198e+00,1.294354224617840554e+00,5.645775382159490263e-03,8.180038102077213580e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.499999999999999944e-01,9.562202667030758718e+00,4.732817157902217353e+00,-2.242708387612059706e+00,1.288783600042454180e+00,1.121639995754586394e-02,8.176367190415014363e+01,2.000000000000000000e+00
1.600000000000000000e+01,1.600000000000000033e-01,9.662202667030758363e+00,4.564432549682544860e+00,-2.044126830111649085e+00,1.287714588442500308e+00,1.228541155749973690e-02,8.173943409684784456e+01,2.000000000000000000e+00
1.700000000000000000e+01,1.700000000000000122e-01,9.761639110977444744e+00,4.400564299664781132e+00,-1.849360485735125348e+00,1.289929101983772641e+00,1.007089801622740310e-02,8.172342975852812685e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.799999999999999933e-01,9.826646940215100656e+00,4.218414992831046817e+00,-1.674347408702498319e+00,1.294522618565584482e+00,5.477381434415562467e-03,8.170783284927615853e+01,0.000000000000000000e+00
