scenario,i,t,alpha,delta1,delta2,CL,s,sigma,flags
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.045591621889592204e+00,9.678345375630851066e+00,-7.712496868563766483e+00,1.300490224172159204e+00,4.902241721591593659e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-02,9.122613512573867212e+00,9.384800631450172403e+00,-7.415627274214648068e+00,1.298087180193342904e+00,-1.912819806657140020e-03,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000042e-02,9.172418967387242716e+00,9.080586628713415820e+00,-7.137518197321662150e+00,1.300333512540873038e+00,3.335125408729933127e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,2.999999999999999889e-02,9.247236085733101518e+00,8.800624359053658807e+00,-6.852779243776379481e+00,1.298391451417181930e+00,-1.608548582818114525e-03,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000083e-02,9.297020614048085108e+00,8.510676813654258765e+00,-6.585592715439981149e+00,1.300330665157949817e+00,3.306651579497721372e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000278e-02,9.370290316941192188e+00,8.244043683948897083e+00,-6.312185348930046125e+00,1.298449976573105236e+00,-1.550023426894808765e-03,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,5.999999999999999778e-02,9.418377719904707845e+00,7.966707083316711291e+00,-6.056257122540549709e+00,1.300358325031647722e+00,3.583250316476771502e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000666e-02,9.489808118745875376e+00,7.712526354620974800e+00,-5.793870384801017792e+00,1.298442368168728711e+00,-1.557631831271333311e-03,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000167e-02,9.535393621190619839e+00,7.446698617463901826e+00,-5.549141940804471318e+00,1.300391499605034529e+00,3.914996050344843326e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,8.999999999999999667e-02,9.604621323931269217e+00,7.204063746465813267e+00,-5.297528674449555552e+00,1.298417787462857742e+00,-1.582212537142302367e-03,1.287604163785543709e-01,0.000000000000000000e+00
