alpha,delta1,delta2,U,CL,dCL_dalpha,dCL_dd1,dCL_dd2,dCL_dU,SPL,dSPL_dalpha,dSPL_dd1,dSPL_dd2,dSPL_dU,sigma
9.156994724874860658e-01,1.851893746467458968e+00,9.502793623142313351e+00,4.698013286895920970e+01,6.981283901590024099e-01,1.045363165714410791e-01,6.729786929581033084e-02,4.115630289907899059e-02,5.748016916352421350e-04,6.942563082806285024e+01,7.937980612389060608e-01,2.475604843968700342e-01,1.904908076285126151e-01,4.978547620097055759e-01,5.327058360325823694e-01
9.359025506881375023e+00,-5.297591854850713489e+00,-4.514828136111574963e+00,5.353235808851627553e+01,4.161273836876277499e-01,1.174982869253624052e-01,7.805039200568414381e-02,5.546491346644327747e-02,3.153531611823062590e-04,7.654063450130654189e+01,4.795618755246265907e-01,3.423120369124440510e-01,2.159545231736649251e-01,6.391941841357516862e-01,1.759568178257197579e-01
5.260910777290721541e+00,9.299419990722537221e+00,-6.617978732692333388e+00,4.828951558632380170e+01,9.396438108382247911e-01,1.060520397286395383e-01,6.774351800920126732e-02,4.942218557036641424e-02,8.642999722451075693e-04,7.427233941980539100e+01,1.164794548491017823e+00,3.049790165619019056e-01,1.565360181659523064e-01,5.368528116933366512e-01,5.107089848696556578e-01
8.681582133971295079e+00,8.900964475855875691e+00,7.534018603632706146e+00,5.505420673355270367e+01,1.742294216399941753e+00,5.918699103568232645e-02,2.887533432662760940e-02,2.349371699217388601e-02,2.509381113170033439e-03,7.980716949435971230e+01,8.285939162870965546e-01,-7.040107171832781230e-01,-4.362374590732550628e-01,8.075094672889442382e-01,1.228674165771178467e-01
1.173587414395923290e+01,6.968017616753773069e+00,8.183649275216971830e+00,6.767809459233870939e+01,1.876469452296332996e+00,3.111563907585947197e-02,2.000323771331105963e-02,1.465234103644845985e-02,1.651472904277809500e-03,9.015887744097287282e+01,4.996297072175126530e-01,1.171196737268820481e-01,7.273045236423068827e-02,2.755205084298192886e-01,3.296986158603877337e-01
6.461950444925204096e+00,-5.535200742319545952e-01,-6.049342210656862839e+00,5.147533416789501359e+01,3.593347758992875285e-01,1.125710509344242660e-01,7.575881216807414664e-02,5.508989869505832859e-02,5.601293729923293276e-04,7.407992689030854194e+01,1.169253042479064586e+00,3.463063447693439656e-01,2.003482267126995564e-01,5.703391759937010974e-01,3.350646497138903279e-01
6.013445563919255221e+00,6.829534297967946088e+00,-1.169405145947203906e+00,5.950384985885898459e+01,1.118448698155729559e+00,1.032073338319321743e-01,6.864802020541282968e-02,4.505596473428263860e-02,1.241527032937661144e-03,8.162533029304346144e+01,1.260970317847941224e+00,2.749149809560660351e-01,1.633745315609656523e-01,4.987212232938216805e-01,4.036663267373751252e-01
8.646136003171385198e-01,-7.377787153041721169e+00,4.384642833846729815e+00,5.786863339061122247e+01,-2.537502002366240905e-01,1.123514208378083440e-01,7.843250225912189177e-02,5.325100950003448103e-02,-2.867282464152041965e-04,7.280745379056190814e+01,-9.236468547946528884e-02,-8.428141648302919786e-02,-1.999403700518351257e-02,4.764959648943278281e-01,2.923624754874843412e-01
3.221267761222454062e+00,-3.825326854043291647e+00,6.906903175279467177e+00,6.255860683426622870e+01,4.290909808533558412e-01,1.143039590276759832e-01,7.669339130010692507e-02,5.209448923896751321e-02,6.306884599445425929e-05,7.737558744647856201e+01,1.329158188945085417e+00,2.913719343369813308e-01,2.860231386984256607e-01,3.663845985867043575e-01,5.281237972503641798e-01
5.998590009906719089e+00,-7.400721169116586395e-01,-6.634493892655113356e+00,4.184995990509605690e+01,2.557161925561409199e-01,1.135600256584508999e-01,7.684086780724497245e-02,5.478065351395726423e-02,3.067105365559318151e-04,6.872832590826428145e+01,1.042335090782781304e+00,3.240276463651377004e-01,1.562240207883424659e-01,3.475345745720613277e-01,2.692737471772236879e-01
