rate_scale,alpha_rate,flap_rate,controller,lift_RMS,lift_RMS_sd
0.25,2.5,15.0,SG-FTSMC,0.0035992668197273175,0.00013725926702221826
0.25,2.5,15.0,BF-STA,0.019806866189996566,0.009339658298171948
0.25,2.5,15.0,CLF-QP,0.00570905358918982,0.0014321985163256658
0.25,2.5,15.0,MPC,0.010730527190765145,0.0017188751985429576
0.5,5.0,30.0,SG-FTSMC,0.004009651527190984,0.00015291625418178747
0.5,5.0,30.0,BF-STA,0.019857706484565314,0.009392722701233702
0.5,5.0,30.0,CLF-QP,0.00570287247651857,0.001428802799716504
0.5,5.0,30.0,MPC,0.010724282532360303,0.0017190932320356996
1.0,10.0,60.0,SG-FTSMC,0.0041898882057186644,0.0002102895825009028
1.0,10.0,60.0,BF-STA,0.019862279686289747,0.009393019088000026
1.0,10.0,60.0,CLF-QP,0.0057028724765184795,0.0014288027997166088
1.0,10.0,60.0,MPC,0.01072426996880669,0.0017190955870640648
2.0,20.0,120.0,SG-FTSMC,0.0042079958394808945,0.00021432655200180148
2.0,20.0,120.0,BF-STA,0.019862218263897235,0.009393001701175019
2.0,20.0,120.0,CLF-QP,0.005702872476518511,0.0014288027997166265
2.0,20.0,120.0,MPC,0.010724269968806736,0.001719095587063852
4.0,40.0,240.0,SG-FTSMC,0.004208047980694739,0.0002143577052703558
4.0,40.0,240.0,BF-STA,0.019862218263897235,0.009393001701175019
4.0,40.0,240.0,CLF-QP,0.005702872476518516,0.0014288027997166294
4.0,40.0,240.0,MPC,0.010724269968806632,0.0017190955870640809
